start_city1,max_benefit_agent_1,min_benefit_agent_1,avg_ben_a_1,max_cost_agent_1,min_cost_agent_1,avg_cost_a_1,start_city2,max_benefit_agent_2,min_benefit_agent_2,avg_ben_a_2,max_cost_agent_2,min_cost_agent_2,avg_cost_a_2,avg_time,std_deviation
1,0,0,0.000,0,0,0.000,1,0,0,0.000,0,0,0.000,0.000,0.000
1,1800,600,1380.000,1.675400e+03,544,1282.300,2,2400,1200,1620.000,1.675400e+03,544,1521.780,9.987,2.503
1,3000,750,1665.000,2800,7.054000e+02,1553.760,3,2250,0,1335.000,2800,7.054000e+02,1252.080,10.118,4.261
1,2700,300,1695.000,2.553800e+03,2.786000e+02,1588.940,4,2700,300,1305.000,2.553800e+03,2.786000e+02,1221.980,9.488,3.951
1,3000,600,1440.000,2.803800e+03,5.552000e+02,1341.100,5,2400,0,1560.000,2.803800e+03,5.552000e+02,1466.640,9.910,3.695
1,1950,0,1350.000,1843,0,1257.460,6,3000,1050,1650.000,1843,0,1545.760,10.081,3.754
1,2700,900,1560.000,2.531200e+03,8.522000e+02,1464.700,7,2100,300,1440.000,2.531200e+03,8.522000e+02,1342.920,9.858,3.920
1,1650,0,1125.000,1.557400e+03,0,1056.480,8,3000,1350,1875.000,1.557400e+03,0,1748.080,9.830,5.029
1,1950,300,1485.000,1.852400e+03,2.694000e+02,1389.940,9,2700,1050,1515.000,1.852400e+03,2.694000e+02,1419.100,9.808,2.549
1,2850,0,1515.000,2.674200e+03,0,1420.440,10,3000,150,1485.000,2.674200e+03,0,1386.640,9.725,4.817
1,2400,600,1680.000,2.283400e+03,570,1580.680,11,2400,600,1320.000,2.283400e+03,570,1228.260,9.846,3.821
1,2400,750,1770.000,2.247800e+03,6.864000e+02,1649.760,12,2250,600,1230.000,2.247800e+03,6.864000e+02,1155.620,9.891,3.906
1,1950,150,1290.000,1.801600e+03,150,1209.500,13,2850,1050,1710.000,1.801600e+03,150,1597.240,9.816,4.219
1,2850,0,1785.000,2.683400e+03,0,1670.880,14,3000,150,1215.000,2.683400e+03,0,1135.100,9.851,5.208
1,1950,1200,1530.000,1.856200e+03,1.125400e+03,1440.460,15,1800,1050,1470.000,1.856200e+03,1.125400e+03,1368.280,9.640,1.992
1,3000,1350,2040.000,2.800800e+03,1.250600e+03,1903.000,16,1650,0,960.000,2.800800e+03,1.250600e+03,894.860,10.267,4.803
1,3000,1350,1785.000,2.812800e+03,1.249800e+03,1666.560,17,1650,0,1215.000,2.812800e+03,1.249800e+03,1136.200,10.043,3.431
1,2100,0,1515.000,1943,0,1414.920,18,3000,900,1485.000,1943,0,1389.040,9.875,4.050
1,3000,750,1575.000,2.819600e+03,7.132000e+02,1478.340,19,2250,0,1425.000,2.819600e+03,7.132000e+02,1330.260,9.718,3.923
1,3000,750,1650.000,2.819200e+03,7.124000e+02,1548.780,20,2250,0,1350.000,2.819200e+03,7.124000e+02,1257.920,9.868,4.672
2,3000,150,1875.000,2.792800e+03,113,1750.700,1,2850,0,1125.000,2.792800e+03,113,1050.900,10.358,5.606
2,0,0,0.000,0,0,0.000,2,0,0,0.000,0,0,0.000,0.000,0.000
2,3000,0,1515.000,2.804600e+03,0,1416.480,3,3000,0,1485.000,2.804600e+03,0,1392.860,9.759,6.217
2,2250,900,1695.000,2.089200e+03,8.376000e+02,1577.960,4,2100,750,1305.000,2.089200e+03,8.376000e+02,1225.260,10.254,3.540
2,3000,0,1410.000,2794,0,1308.080,5,3000,0,1590.000,2794,0,1497.780,10.032,5.845
2,2400,750,1605.000,2.248200e+03,6.896000e+02,1501.040,6,2250,600,1395.000,2.248200e+03,6.896000e+02,1305.360,9.797,2.599
2,3000,1200,1815.000,2.809600e+03,1.121400e+03,1697.940,7,1800,0,1185.000,2.809600e+03,1.121400e+03,1108.580,9.934,3.691
2,2700,900,1725.000,2.531200e+03,8.318000e+02,1613.420,8,2100,300,1275.000,2.531200e+03,8.318000e+02,1191.900,9.975,3.562
2,2850,300,1680.000,2.658600e+03,284,1565.660,9,2700,150,1320.000,2.658600e+03,284,1241.900,10.001,4.673
2,2100,750,1380.000,1971,7.094000e+02,1284.680,10,2250,900,1620.000,1971,7.094000e+02,1517.560,10.042,2.820
2,2400,150,1470.000,2.239600e+03,1.304000e+02,1359.700,11,2850,600,1530.000,2.239600e+03,1.304000e+02,1445.500,9.827,3.460
2,3000,600,1545.000,2.814200e+03,5.592000e+02,1449.660,12,2400,0,1455.000,2.814200e+03,5.592000e+02,1361.440,9.925,4.048
2,1950,150,1485.000,1.832200e+03,136,1394.360,13,2850,1050,1515.000,1.832200e+03,136,1413.760,9.756,2.913
2,1650,900,1350.000,1.546800e+03,8.458000e+02,1250.000,14,2100,1350,1650.000,1.546800e+03,8.458000e+02,1554.860,10.026,2.585
2,2550,0,1530.000,2402,0,1432.880,15,3000,450,1470.000,2402,0,1377.460,9.611,4.257
2,3000,600,1635.000,2799,556,1525.940,16,2400,0,1365.000,2799,556,1279.980,10.063,4.384
2,2100,0,1185.000,1.955200e+03,0,1096.860,17,3000,900,1815.000,1.955200e+03,0,1710.080,9.951,3.652
2,2250,300,1425.000,2084,2.872000e+02,1325.100,18,2700,750,1575.000,2084,2.872000e+02,1481.240,10.042,4.158
2,3000,0,1380.000,2.797200e+03,0,1285.420,19,3000,0,1620.000,2.797200e+03,0,1517.620,9.933,5.649
2,3000,1350,1785.000,2.802400e+03,1248,1669.160,20,1650,0,1215.000,2.802400e+03,1248,1132.920,10.118,4.171
3,3000,900,1605.000,2.828800e+03,8.574000e+02,1501.300,1,2100,0,1395.000,2.828800e+03,8.574000e+02,1306.920,9.648,4.167
3,2250,300,1350.000,2.129200e+03,2.856000e+02,1264.700,2,2700,750,1650.000,2.129200e+03,2.856000e+02,1543.840,9.577,3.886
3,0,0,0.000,0,0,0.000,3,0,0,0.000,0,0,0.000,0.000,0.000
3,3000,450,1605.000,2.809800e+03,4.088000e+02,1495.320,4,2550,0,1395.000,2.809800e+03,4.088000e+02,1308.900,9.875,4.236
3,3000,600,1590.000,2.813400e+03,5.666000e+02,1489.300,5,2400,0,1410.000,2.813400e+03,5.666000e+02,1319.680,9.653,4.390
3,2700,600,1560.000,2.538800e+03,574,1463.840,6,2400,300,1440.000,2.538800e+03,574,1345.060,9.456,3.469
3,2100,0,1530.000,1.983800e+03,0,1434.180,7,3000,900,1470.000,1.983800e+03,0,1374.740,9.586,4.052
3,2250,1050,1575.000,2.142200e+03,993,1475.660,8,1950,750,1425.000,2.142200e+03,993,1327.500,9.661,3.123
